lugar_trabajo,tipo_contrato,salario_mensual_bruto,salario_mensual_neto,trabajo_de,anios_experiencia,anios_empresa_actual,anios_puesto_actual,personal_a_cargo,plataformas,lenguajes_programacion,framework_librerias_herramientas,bases_de_datos,qa_testing,ides,cantidad_personal_organizacion,actividad_principal,edad
Río Negro,Full-Time,"89971,85",74672.84,Developer,5,13,2,4,"Linux, Windows Server","CSS, HTML, Java, Javascript","Bootstrap, Apache Wicket",MySQL,JUnit,"Eclipse, Vim",1001-2000,Otras industrias,40
Mendoza,Full-Time,"86650,67",71089,Developer,5,1,1,0,"Azure, Firebase",Swift,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Xcode,11-50,Producto basado en Software,31
Provincia de Buenos Aires,Full-Time,"84901,16",68715,Recruiter / HR,2,1.5,1.5,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Servicios / Consultoría de Software / Digital,31
Córdoba,Full-Time,83291.57,50984.85,QA / Tester,9,9,3,3,"SAP, SQL Server","ABAP, SQL",SAP,"Oracle, SAP/R3","OpenQA, SoapUI, Test Complete","Notepad++, Visual Studio",501-1000,Producto basado en Software,37
Tucumán,Full-Time,"83183,14",66560,Developer,0,0,0,0,Windows Server,".NET, C#, SQL",Ninguno de los anteriores,Microsoft SQL Server,Selenium,Visual Studio,201-500,Servicios / Consultoría de Software / Digital,27
Provincia de Buenos Aires,Full-Time,83.49,69297,SysAdmin / DevOps / SRE,13,0,0,0,"VMWare, Windows Server",HTML,WordPress,Microsoft SQL Server,Ninguna de las anteriores,"Notepad++, Visual Studio",101-200,Otras industrias,33
Ciudad Autónoma de Buenos Aires,Full-Time,81661.58,67779.11,Developer,2,2,2,0,Ninguna de las anteriores,".NET, C#",.NET Core,Oracle,Ninguna de las anteriores,"Notepad++, Visual Studio, Visual Studio Code",501-1000,Servicios / Consultoría de Software / Digital,24
Córdoba,Full-Time,"81341,7",67309,Test Automation Engineer,2,4,1,0,"Docker, Linux","C#, Java",Ninguno de los anteriores,Ninguna de las anteriores,"Appium, Cucumber, JUnit, Postman, Selenium, SoapUI","IntelliJ, Notepad++, Visual Studio Code",10001+,Servicios / Consultoría de Software / Digital,34
Córdoba,Full-Time,79791.24,65152.76,Consultant,2,2,1,0,"HP-UX, Linux, OpenStack, VMWare","Bash/Shell, Perl",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,"Notepad++, Visual Studio",1-10,Servicios / Consultoría de Software / Digital,26
Santa Fe,Tercerizado (trabajo a través de consultora o agencia),79518.07,66000,Developer,6,2,2,0,Azure,".NET, C, C++, C#, HTML, Javascript, PHP, SQL",".NET Core, jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc)","SoapUI, TFS, Visual Studio Coded UI","Notepad++, Visual Studio",11-50,Servicios / Consultoría de Software / Digital,31
Córdoba,Full-Time,"78930,18",65513,QA / Tester,3,3,0,0,"Amazon Web Services, Docker, Serverless",Java,Ninguno de los anteriores,Ninguna de las anteriores,"Appium, Cucumber, Postman, Selenium, SoapUI","Android Studio, IntelliJ",10001+,Servicios / Consultoría de Software / Digital,34
Ciudad Autónoma de Buenos Aires,Full-Time,"78462,97",60341.65,Developer,3,3,2,0,"Google Cloud Platform/App Engine, Kubernetes","Java, Javascript, Python, SQL","Angular, Bootstrap, Django, jQuery, Node.js, Spring","MariaDB, MySQL","Jest, JUnit","IntelliJ, Visual Studio Code",10001+,Otras industrias,29
Ciudad Autónoma de Buenos Aires,Full-Time,78313.25,65000,Developer,5,2,2,0,"Firebase, Google Cloud Platform/App Engine, Linux, Microcontroladores, Serverless","CSS, HTML, Javascript, PHP, Python, SQL, TypeScript","Angular, Bootstrap, Django, Flask, Node.js, Symfony, Vue.js","Google Cloud Storage, MariaDB, MySQL",Ninguna de las anteriores,Vim,11-50,Producto basado en Software,26
