lugar_trabajo,tipo_contrato,salario_mensual_bruto,salario_mensual_neto,trabajo_de,anios_experiencia,anios_empresa_actual,anios_puesto_actual,personal_a_cargo,plataformas,lenguajes_programacion,framework_librerias_herramientas,bases_de_datos,qa_testing,ides,cantidad_personal_organizacion,actividad_principal,edad
Provincia de Buenos Aires,Full-Time,226000,153000,Data Engineer,18,6,6,0,"Amazon Web Services, Docker, Google Cloud Platform/App Engine, IBM Cloud / Watson, Kubernetes, Linux, VMWare","C++, Delphi, Go, Groovy, HTML, Java, Javascript, PHP, Python, Smalltalk","Angular, Bootstrap, Django, Hibernate, jQuery, Node.js, Rails, React.js","Apache HBase, Cassandra, ElasticSearch, IBM Db2, MariaDB, Microsoft SQL Server, MySQL, PostgreSQL",JUnit,"Android Studio, Atom, Eclipse, NetBeans, Vim, Visual Studio, Visual Studio Code, Xcode",1-10,Otras industrias,41
Ciudad Autónoma de Buenos Aires,Full-Time,226000,143000,Manager / Director,12,0,0,5,"Azure, SAP, RPA",Ninguno de los anteriores,Ninguno de los anteriores,"Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,Ninguno de los anteriores,10001+,Producto basado en Software,30
Ciudad Autónoma de Buenos Aires,Full-Time,225036,143000,Designer,13,2,6,2,"Docker, Firebase, Linux",Javascript,"Node.js, React.js",Microsoft SQL Server,Jest,WebStorm,51-100,Servicios / Consultoría de Software / Digital,30
Santa Fe,Full-Time,225000,130000,Proyect Leader,10,2,0,7,"Amazon Web Services, Docker",Java,"Spark, Spring","MongoDB, MySQL",JUnit,"IntelliJ, Visual Studio Code",10001+,Producto basado en Software,35
Santa Fe,Full-Time,225000,210000,Data Scientist,3,0,3,0,"Docker, Linux","Bash/Shell, CSS, HTML, Kotlin, Python, SQL","Django, Flask, jQuery","Microsoft SQL Server, PostgreSQL, SQLite",Ninguna de las anteriores,Vim,1-10,Servicios / Consultoría de Software / Digital,25
GBA,Remoto (empresa de otro país),225000,200000,QA / Tester,2,0,0,0,"Amazon Web Services, Docker","Javascript, Ruby","Rails, Vue.js",MySQL,Cypress,Visual Studio Code,51-100,Producto basado en Software,23
Ciudad Autónoma de Buenos Aires,Full-Time,225000,140000,Infosec,20,0,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Servicios / Consultoría de Software / Digital,42
Tucumán,Remoto (empresa de otro país),225000,225000,Developer,1,0,0,0,"Docker, Heroku","CSS, HTML, Javascript, Python, TypeScript","Django, React.js",Ninguna de las anteriores,Postman,Visual Studio Code,201-500,Producto basado en Software,22
,Full-Time,225000,183000,VP / C-Level,23,10,7,18,"Amazon Web Services, *BSD, Docker, Linux, VMWare, Windows Server, Proxmox","Bash/Shell, Go, Java, Javascript, Python, R","Django, Hibernate, jQuery, Spring, WordPress","Microsoft SQL Server, MongoDB, MySQL, Redis, SQLite","JUnit, Selenium","Eclipse, Visual Studio Code",51-100,Otras industrias,49
Ciudad Autónoma de Buenos Aires,Full-Time,225000,150000,SysAdmin / DevOps / SRE,6,2,4,0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Java, Python",Bootstrap,"Amazon DynamoDB, Amazon RDS/Aurora, PostgreSQL, Redis",Ninguna de las anteriores,Visual Studio Code,201-500,Producto basado en Software,27
Córdoba,Remoto (empresa de otro país),225000,,SysAdmin / DevOps / SRE,7,0,2,0,"Docker, Google Cloud Platform/App Engine, Kubernetes, Linux, Serverless",Python,"Django, Flask, Vue.js","Google Cloud Storage, PostgreSQL",Pytest,PyCharm,11-50,Producto basado en Software,32
Ciudad Autónoma de Buenos Aires,Full-Time,225000,170000,Product Manager,12,2,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Producto basado en Software,34
Chubut,Full-Time,225000,175000,Technical Leader,20,3,3,0,"Amazon Web Services, Arduino o similar, Azure, Kubernetes, Microcontroladores, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,201-500,Otras industrias,43
Mendoza,Full-Time,225000,140000,Project Manager,4,1,1,8,Amazon Web Services,Elixir,Akka,Apache HBase,NUnit,Notepad++,10001+,Producto basado en Software,37
Ciudad Autónoma de Buenos Aires,Full-Time,225000,150000,Developer,10,2,2,0,"Azure, VMWare, Windows Server",".NET, C#, HTML, Java, Javascript, SQL, VBA",".NET Core, Bootstrap, jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, SQLite, Sybase","JUnit, NUnit, Postman, Selenium, SoapUI, Telerik Studio, TFS, Visual Studio Coded UI","Android Studio, Visual Studio, Visual Studio Code",501-1000,Servicios / Consultoría de Software / Digital,32
Ciudad Autónoma de Buenos Aires,Full-Time,225000,155000,Developer,4,1,1,0,"Docker, Kubernetes, Linux","C, Javascript, Python",Node.js,ElasticSearch,Postman,"Notepad++, Vim, Visual Studio, Visual Studio Code",2001-5000,Servicios / Consultoría de Software / Digital,28
Ciudad Autónoma de Buenos Aires,Full-Time,225000,162500,Manager / Director,14,6,3,50,"Amazon Web Services, Azure, Docker, Linux, Windows Server","Bash/Shell, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Ninguna de las anteriores,Ninguno de los anteriores,101-200,Servicios / Consultoría de Software / Digital,34
Ciudad Autónoma de Buenos Aires,Full-Time,225000,150000,Infosec,20,0,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Servicios / Consultoría de Software / Digital,42
GBA,Full-Time,224400,148000,Developer,9,1,1,0,"Amazon Web Services, Docker",PHP,Laravel,"Amazon RDS/Aurora, MongoDB, MySQL",PHPUnit,PHPStorm,201-500,Producto basado en Software,28
Ciudad Autónoma de Buenos Aires,Full-Time,224000,143000,QA / Tester,8,2,2,0,Kubernetes,"Javascript, Python, TypeScript",Ninguno de los anteriores,"MongoDB, MySQL",Cypress,Visual Studio Code,201-500,Producto basado en Software,30
Ciudad Autónoma de Buenos Aires,Full-Time,224000,150000,SysAdmin / DevOps / SRE,4,0,2,0,"Azure, VMWare, Windows Server","Ninguno de los anteriores, Poweshell",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio Code,5001-10000,Servicios / Consultoría de Software / Digital,30
Ciudad Autónoma de Buenos Aires,Full-Time,224000,150000,Manager / Director,25,1,1,26,"Amazon Web Services, Azure, Docker, Google Cloud Platform/App Engine, Kubernetes, SAP, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Servicios / Consultoría de Software / Digital,52
Ciudad Autónoma de Buenos Aires,Full-Time,223000,160000,Data Engineer,4,4,3,0,"Amazon Web Services, Docker, Kubernetes","Bash/Shell, Python, SQL","Flask, Hadoop","Apache Hive, PostgreSQL",null,"IPython / Jupyter, Vim, Visual Studio Code",11-50,Servicios / Consultoría de Software / Digital,27
Santa Fe,Full-Time,223000,127000,Dev manager,20,8,6,21,"Azure, Docker, Kubernetes, Linux, VMWare",".NET, C#, Javascript, Ruby, SQL, TypeScript",".NET Core, Angular, Bootstrap, jQuery, Node.js, Rails, React.js, TensorFlow, Vue.js","ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, PostgreSQL, Redis, SQLite","NUnit, RSpec, Watir","Atom, Vim, Visual Studio, Visual Studio Code",501-1000,Otras industrias,45
Ciudad Autónoma de Buenos Aires,Full-Time,223000,150000,Data Engineer,4,4,3,0,"Amazon Web Services, Docker, Kubernetes","Python, SQL",Hadoop,"Apache Hive, PostgreSQL, Redis",Ninguna de las anteriores,Visual Studio Code,11-50,Otras industrias,27
Ciudad Autónoma de Buenos Aires,Full-Time,223000,158000,Developer,17,0,6,0,"Amazon Web Services, Firebase","CSS, HTML, Javascript","Node.js, React Native",PostgreSQL,Ninguna de las anteriores,Visual Studio Code,11-50,Producto basado en Software,40
Ciudad Autónoma de Buenos Aires,Full-Time,223000,146000,Developer,6,0,3,0,Amazon Web Services,"CSS, HTML, Java, Javascript, TypeScript","Hibernate, Node.js, React.js, Spring","MongoDB, Redis","Cypress, Selenium","IntelliJ, Visual Studio Code",101-200,Producto basado en Software,31
Ciudad Autónoma de Buenos Aires,Full-Time,222144,128247,Developer,3,3,0,0,Ninguna de las anteriores,"Groovy, Java","Rails, Spark, Spring","MySQL, Oracle, ProxySQL, Redis, Teradata",JUnit,"IntelliJ, Sublime Text, Visual Studio Code",10001+,Producto basado en Software,27
Ciudad Autónoma de Buenos Aires,Full-Time,222000,144000,Project Manager,18,10,3,2,"Azure, Linux, Windows Server",".NET, C++, HTML, SQL","Angular, Bootstrap, Drupal, WordPress, Umbraco CMS","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,Visual Studio Code,10001+,Otras industrias,40
Ciudad Autónoma de Buenos Aires,Full-Time,221700,150000,Technical Leader,28,6,6,4,"Linux, VMWare, Cisco IOS","C, PHP, Python, SQL",Ninguno de los anteriores,"Cassandra, ElasticSearch, MySQL, Oracle, PostgreSQL",SoapUI,"Notepad++, Sublime Text",1001-2000,Otras industrias,59
Ciudad Autónoma de Buenos Aires,Full-Time,221000,125000,Developer,3,3,2,0,"Amazon Web Services, Docker, Kubernetes, Linux","CSS, HTML, Java, Javascript, Python","Angular, Node.js, React.js, Spring",PostgreSQL,Selenium,"IntelliJ, Visual Studio Code",2001-5000,Producto basado en Software,25
Ciudad Autónoma de Buenos Aires,Full-Time,221000,145000,Developer,8,1,1,0,Android,"Java, Kotlin",Ninguno de los anteriores,Ninguna de las anteriores,JUnit,"Android Studio, IntelliJ",1001-2000,Producto basado en Software,32
Ciudad Autónoma de Buenos Aires,Full-Time,221000,143000,SysAdmin / DevOps / SRE,4,0,0,0,VMWare,"Javascript, Powershell",Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,Visual Studio Code,5001-10000,Producto basado en Software,22
Ciudad Autónoma de Buenos Aires,Full-Time,220000,140000,Developer,4,1,1,10,"Docker, Kubernetes, Linux, Mainframe, OpenShift","Bash/Shell, Javascript, SQL, TypeScript","Node.js, React.js","ElasticSearch, IBM Db2, MongoDB, MySQL, PostgreSQL, Redis, SQLite","Cypress, Jest, Mocha, Postman, SoapUI","Eclipse, Visual Studio Code",2001-5000,Otras industrias,35
Ciudad Autónoma de Buenos Aires,Full-Time,220000,145000,SysAdmin / DevOps / SRE,12,2,1,4,"Amazon Web Services, Docker, Kubernetes, Linux, VMWare","C#, Go, Python, Ruby","Flask, Gin","Amazon DynamoDB, MySQL, PostgreSQL, Redis","RSpec, Testify (Go)","PyCharm, GoLand, RubyMine, Rider",201-500,Producto basado en Software,33
Ciudad Autónoma de Buenos Aires,Full-Time,220000,160000,Technical Leader,5,0,0,6,Oracle commerce cloud,Javascript,Node.js,Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio Code,11-50,Servicios / Consultoría de Software / Digital,28
Ciudad Autónoma de Buenos Aires,Full-Time,220000,135000,Developer,4,4,1,2,Ninguna de las anteriores,"Javascript, Python, SQL","Bootstrap, Flask, jQuery, React.js","ElasticSearch, Microsoft SQL Server, PostgreSQL","Cypress, Jest",Visual Studio Code,201-500,Servicios / Consultoría de Software / Digital,31
Ciudad Autónoma de Buenos Aires,Full-Time,220000,150000,Data Visualization Engineer,3,0,0,0,"Amazon Web Services, Kubernetes, Linux","Python, SQL",Spark,"PostgreSQL, Databricks",Ninguna de las anteriores,"Notepad++, Visual Studio Code",101-200,Producto basado en Software,39
Ciudad Autónoma de Buenos Aires,Full-Time,220000,120000,BI Analyst / Data Analyst,7,2.5,2.5,0,"Amazon Web Services, Azure","Python, R, SQL",Ninguno de los anteriores,"Amazon Redshift, Microsoft SQL Server, Azure synapse",Ninguna de las anteriores,"IPython / Jupyter, Notepad++, RStudio, DataGrip",11-50,Servicios / Consultoría de Software / Digital,32
Ciudad Autónoma de Buenos Aires,Full-Time,220000,150000,QA / Tester,10,0,4,0,Linux,"Java, Javascript",Node.js,Ninguna de las anteriores,"Cypress, Mocha",Visual Studio Code,201-500,Servicios / Consultoría de Software / Digital,28
Mendoza,Full-Time,220000,180000,Developer,4,4,1,4,Docker,"Python, SQL, React","Bootstrap, Django, React.js","Amazon Redshift, MySQL, Redis",Pytest,"IPython / Jupyter, Visual Studio Code",201-500,Otras industrias,37
Ciudad Autónoma de Buenos Aires,Full-Time,220000,125000,Manager / Director,22,20,3,52,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Otras industrias,49
Ciudad Autónoma de Buenos Aires,Full-Time,220000,150000,Architect,22,1,2,0,"Azure, Docker, Kubernetes",".NET, C#",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",NUnit,"Visual Studio, Visual Studio Code",1001-2000,Servicios / Consultoría de Software / Digital,43
Ciudad Autónoma de Buenos Aires,Full-Time,220000,154000,Developer,3,0,3,0,"Amazon Web Services, Docker, Kubernetes","Kotlin, Python, SQL",Ninguno de los anteriores,"PostgreSQL, Redis",JUnit,"IntelliJ, PyCharm, Sublime Text",201-500,Producto basado en Software,33
Córdoba,Tercerizado (trabajo a través de consultora o agencia),220000,120000,SysAdmin / DevOps / SRE,4,0,2,0,"Amazon Web Services, Azure, Docker, Kubernetes, Linux, Serverless, VMWare, Windows Server","Bash/Shell, Javascript, TypeScript",Node.js,"Amazon DynamoDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL","Mocha, Postman","Notepad++, Sublime Text, Vi, Vim, Visual Studio Code",1001-2000,Producto basado en Software,28
Provincia de Buenos Aires,Remoto (empresa de otro país),220000,220000,Developer,11,1,1,0,"Linux, Android, iOS","Bash/Shell, C, Java, Kotlin, Objective-C, Swift",Ninguno de los anteriores,Ninguna de las anteriores,"Appium, JUnit","Android Studio, Vim",11-50,Otras industrias,35
Ciudad Autónoma de Buenos Aires,Full-Time,220000,146000,Manager / Director,5,5,1.5,15,"Amazon Web Services, Docker","Java, Javascript, Ruby, TypeScript","Node.js, Rails","MySQL, PostgreSQL","Jest, JUnit, Mocha",Visual Studio Code,201-500,Servicios / Consultoría de Software / Digital,27
Córdoba,Full-Time,220000,140000,Architect,13,13,1,0,"Amazon Web Services, Docker, Kubernetes, Linux","Java, Python","Flask, Spring","Amazon RDS/Aurora, ElasticSearch",Selenium,Visual Studio Code,201-500,Producto basado en Software,36
Ciudad Autónoma de Buenos Aires,Full-Time,220000,160000,Scrum Master,26,12,4,0,"Amazon Web Services, Docker, Kubernetes","Java, Python","Angular, React.js",Ninguna de las anteriores,JUnit,Ninguno de los anteriores,5001-10000,Otras industrias,51
Provincia de Buenos Aires,Full-Time,220000,127000,Manager / Director,20,6,1,10,"Docker, Linux, Cloudstack","Bash/Shell, CSS, HTML, Javascript, Python, SQL, TypeScript","Flask, jQuery, React.js","ElasticSearch, MongoDB, PostgreSQL, Redis",Ninguna de las anteriores,"Android Studio, PyCharm, Sublime Text, Visual Studio Code",501-1000,Otras industrias,46
Ciudad Autónoma de Buenos Aires,Full-Time,220000,157000,Data Scientist,3,0,0,0,"Docker, Google Cloud Platform/App Engine, Heroku, Linux","CSS, HTML, Javascript, Python, R, SQL","Bootstrap, Flask, jQuery, Torch","ElasticSearch, Google Cloud Storage, MariaDB, MySQL, PostgreSQL, Redis",Selenium,"IPython / Jupyter, Visual Studio Code",11-50,Producto basado en Software,29
Ciudad Autónoma de Buenos Aires,Full-Time,220000,136000,Architect,12,15,10,6,"Google Cloud Platform/App Engine, Heroku, Linux, OpenShift","C, CSS, HTML, Java, Javascript, PHP, SQL","Angular, Bootstrap, Cordova, Hibernate, jQuery, Spring","ElasticSearch, IBM Db2, MariaDB, MySQL, Oracle, PostgreSQL","JUnit, Postman","Eclipse, IntelliJ, Vi",501-1000,Otras industrias,47
Santa Fe,Full-Time,220000,165000,Manager / Director,30,1,1,40,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,51-100,Producto basado en Software,55
Mendoza,Full-Time,220000,140000,Developer,13,0,8,1,"Amazon Web Services, Firebase, Linux, Serverless","Java, Javascript, Kotlin",Node.js,"Amazon DynamoDB, ElasticSearch, Google Cloud Storage, MongoDB, SQLite","JUnit, Postman","Android Studio, IntelliJ, Visual Studio Code",101-200,Servicios / Consultoría de Software / Digital,33
Ciudad Autónoma de Buenos Aires,Full-Time,220000,180000,Developer,10,6,2,0,Amazon Web Services,"CSS, HTML, Java, Javascript, Kotlin, TypeScript",Angular,Cassandra,JUnit,IntelliJ,501-1000,Producto basado en Software,38
Provincia de Buenos Aires,Full-Time,220000,158500,SysAdmin / DevOps / SRE,9,0,0,0,"Amazon Web Services, Docker, Kubernetes, Linux",Bash/Shell,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,"Visual Studio Code, Lens",501-1000,Producto basado en Software,35
Santa Fe,Full-Time,220000,165000,Manager / Director,17,1,1,30,"Azure, Serverless",".NET, C#, HTML, Javascript, TypeScript",".NET Core, Flutter","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Neo4j, Oracle",TFS,"IntelliJ, Notepad++, Vim, Visual Studio, Visual Studio Code",10001+,Servicios / Consultoría de Software / Digital,42
Ciudad Autónoma de Buenos Aires,Full-Time,220000,142000,Technical Leader,20,1,1,2,"Docker, Linux, OpenShift","Java, Javascript","Node.js, Spring","ElasticSearch, MongoDB, PostgreSQL",Ninguna de las anteriores,"Notepad++, Vim",11-50,Servicios / Consultoría de Software / Digital,39
Ciudad Autónoma de Buenos Aires,Full-Time,220000,150000,Developer,6,2,0,0,"Docker, Kubernetes","Go, TypeScript",Node.js,"ElasticSearch, MySQL, SQLite","Jest, Postman",Visual Studio Code,201-500,Producto basado en Software,29
Ciudad Autónoma de Buenos Aires,Full-Time,220000,160000,Developer,5,0,5,0,Docker,Javascript,React.js,Ninguna de las anteriores,Jest,Visual Studio Code,101-200,Producto basado en Software,34
Santa Fe,Full-Time,220000,220000,Developer,5,1,1,0,"Firebase, Heroku, Linux","HTML, Javascript, PHP","Node.js, React.js, Vue.js, WordPress","MongoDB, MySQL",Ninguna de las anteriores,"Atom, Sublime Text, Visual Studio",11-50,Servicios / Consultoría de Software / Digital,25
GBA,Full-Time,220000,150000,Manager / Director,16,16,3,8,"AIX, HP-UX","Java, SQL",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Otras industrias,39
Ciudad Autónoma de Buenos Aires,Full-Time,220000,180000,UX,12,0,4,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,2001-5000,Producto basado en Software,37
Ciudad Autónoma de Buenos Aires,Remoto (empresa de otro país),220000,150000,Developer,4,1,0,0,Docker,"CSS, HTML, Javascript","Laravel, Node.js, Vue.js",MongoDB,Jest,Visual Studio Code,101-200,Producto basado en Software,31
Santa Fe,Full-Time,220000,155000,Consultant,5,2,2,2,Amazon Web Services,".NET, C#, HTML, Javascript, PHP",".NET Core, Bootstrap, jQuery","Microsoft SQL Server, MongoDB, Solr",Ninguna de las anteriores,"PHPStorm, Visual Studio",201-500,Servicios / Consultoría de Software / Digital,27
Provincia de Buenos Aires,Full-Time,220000,175000,Manager / Director,25,5,5,26,"Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, MySQL",Ninguna de las anteriores,Ninguno de los anteriores,201-500,Otras industrias,49
Ciudad Autónoma de Buenos Aires,Full-Time,220000,148000,Developer,5,0,0,0,"Docker, Linux","Java, Javascript","Node.js, Spring","ElasticSearch, MongoDB","Jest, JUnit, Katalon, Mocha, Postman","IntelliJ, Notepad++, Visual Studio Code",101-200,Producto basado en Software,21
Ciudad Autónoma de Buenos Aires,Full-Time,220000,160000,Process & Planning,25,8,8,0,"Azure, Linux, SAP, VMWare, Windows Server",".NET, ABAP",SAP,"Microsoft SQL Server, Oracle",Ninguna de las anteriores,Ninguno de los anteriores,5001-10000,Otras industrias,50
Ciudad Autónoma de Buenos Aires,Full-Time,220000,160000,Consultant,15,6,1,0,"Amazon Web Services, Heroku","Python, SQL",Flask,"Amazon Redshift, Amazon RDS/Aurora, MySQL",Ninguna de las anteriores,"IPython / Jupyter, PyCharm, Visual Studio Code",5001-10000,Otras industrias,46
Ciudad Autónoma de Buenos Aires,Full-Time,220000,155000,Developer,4,0,0,0,"Docker, Kubernetes, Linux","Javascript, Ruby","Angular, Rails, React.js","MariaDB, MySQL",Ninguna de las anteriores,Ninguno de los anteriores,51-100,Servicios / Consultoría de Software / Digital,24
Provincia de Buenos Aires,Full-Time,220000,160000,Developer,10,5,5,0,"Docker, Linux","CSS, HTML, Java, Javascript, SQL, TypeScript","Angular, Bootstrap, Hibernate, jQuery, Spring",MySQL,"Cucumber, JUnit, Karma, Selenium","Android Studio, IntelliJ, Vim, Visual Studio Code",11-50,Producto basado en Software,35
Santa Fe,Remoto (empresa de otro país),220000,192000,Developer,4,0,0,0,Linux,"CSS, HTML, Javascript, PHP, SQL, TypeScript","Bootstrap, jQuery, Node.js, React.js",MySQL,Ninguna de las anteriores,Visual Studio Code,11-50,Producto basado en Software,40
Ciudad Autónoma de Buenos Aires,Freelance,220000,170000,Manager / Director,18,3,3,5,SAP,ABAP,Ninguno de los anteriores,HANA,Ninguna de las anteriores,Ninguno de los anteriores,1-10,Servicios / Consultoría de Software / Digital,39
Ciudad Autónoma de Buenos Aires,Full-Time,220000,150000,SysAdmin / DevOps / SRE,3,8,3,0,"Amazon Web Services, Azure, Docker, Linux, VMWare, Windows Server","Bash/Shell, Go, Python","Django, WordPress","Amazon RDS/Aurora, ElasticSearch, MySQL",Ninguna de las anteriores,"Sublime Text, Vi, Vim, Visual Studio Code",2001-5000,Producto basado en Software,32
Ciudad Autónoma de Buenos Aires,Full-Time,219450,,SysAdmin / DevOps / SRE,6,5,0,0,"Docker, Linux","Bash/Shell, Python","Angular, Bootstrap","MariaDB, MongoDB, PostgreSQL, Redis",Ninguna de las anteriores,Vim,501-1000,Servicios / Consultoría de Software / Digital,30
Ciudad Autónoma de Buenos Aires,Full-Time,218800,155000,Sales / Pre-Sales,16,0,0,0,"Docker, Google Cloud Platform/App Engine, Kubernetes, Linux, Mainframe, OpenShift, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Eclipse,10001+,Servicios / Consultoría de Software / Digital,41
Ciudad Autónoma de Buenos Aires,Full-Time,218000,140000,Technical Leader,18,1,1,3,"Amazon Web Services, Azure, Docker, IBM Cloud / Watson, Kubernetes, Linux, OpenShift","Bash/Shell, Java, Javascript, PHP",Node.js,"ElasticSearch, MariaDB, MongoDB, MySQL","Cucumber, Selenium","Vim, Visual Studio Code",11-50,Servicios / Consultoría de Software / Digital,39
Ciudad Autónoma de Buenos Aires,Full-Time,218000,140000,Consultant,30,10,9,0,Oracle,functional,Ninguno de los anteriores,"Microsoft SQL Server, Oracle",Ninguna de las anteriores,"Notepad++, Vi, Visual Studio",51-100,Servicios / Consultoría de Software / Digital,47
Ciudad Autónoma de Buenos Aires,Full-Time,217800,150000,Technical Leader,14,0,0,0,Docker,"Go, Java",Spring,MySQL,"JUnit, Postman","Eclipse, IntelliJ, Visual Studio Code",5001-10000,Producto basado en Software,39
Ciudad Autónoma de Buenos Aires,Full-Time,217500,,DBA,13,2,12,0,"Amazon Web Services, Docker, IBM Cloud / Watson, Kubernetes, Linux, VMWare","Bash/Shell, Python",Ninguno de los anteriores,"Amazon RDS/Aurora, PostgreSQL",Ninguna de las anteriores,"Notepad++, Sublime Text, Vi, Vim",1001-2000,Producto basado en Software,39
Ciudad Autónoma de Buenos Aires,Remoto (empresa de otro país),217500,200000,Developer,7,0,0,0,"Azure, Docker, Firebase, Google Cloud Platform/App Engine, Kubernetes","HTML, Javascript, Ruby, TypeScript","Angular, Bootstrap, Rails, React.js, Symfony","ElasticSearch, Google Cloud Storage, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis, SQLite","Jest, JUnit, Karma","Android Studio, Visual Studio Code",1001-2000,Servicios / Consultoría de Software / Digital,36
Ciudad Autónoma de Buenos Aires,Full-Time,217000,140000,Manager / Director,19,10,2,24,"Azure, Docker",".NET, Javascript, SQL, TypeScript, VBA",".NET Core, Angular",Microsoft SQL Server,Postman,"Visual Studio, Visual Studio Code",10001+,Otras industrias,36
Santa Fe,Full-Time,217000,130000,Technical Leader,10,1,1,0,"Amazon Web Services, Docker, Google Cloud Platform/App Engine, Linux, Serverless","C++, Go, HTML, Java, Javascript, SQL","Hibernate, jQuery, Node.js, React.js, Spring","Google Cloud Storage, HANA, MongoDB, MySQL, Oracle, ProxySQL",JUnit,"IntelliJ, Visual Studio Code",10001+,Otras industrias,34
Ciudad Autónoma de Buenos Aires,Full-Time,217000,188000,Technical Leader,14,14,5,2,"Docker, Linux, Windows Server","CSS, Groovy, Javascript, Smalltalk, SQL","Bootstrap, jQuery, Node.js","Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, SQLite",Postman,Atom,11-50,Producto basado en Software,38
Santa Fe,Full-Time,217000,137000,Developer,5,0,3,0,"Amazon Web Services, Azure, Docker","C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Node.js","Microsoft SQL Server, MongoDB, Redis",Karma,"Visual Studio, Visual Studio Code, WebStorm",201-500,Producto basado en Software,37
Ciudad Autónoma de Buenos Aires,Full-Time,217000,138000,Manager / Director,12,5,1,1,"Docker, Kubernetes, Linux","CSS, HTML, Javascript, Python, SQL",Flask,"Apache Hive, MariaDB, MySQL, SQLite, vertica",Ninguna de las anteriores,"IPython / Jupyter, Visual Studio Code",1001-2000,Producto basado en Software,35
Córdoba,Full-Time,217000,,Developer,7,3,3,0,"Linux, Dispositivos de Intel","Assembler, Bash/Shell, C, C++, Python",Ninguno de los anteriores,Ninguna de las anteriores,Behave,Sublime Text,11-50,Producto basado en Software,30
Ciudad Autónoma de Buenos Aires,Full-Time,217000,217000,Developer,2,0,0,0,"Docker, Heroku, Linux","Bash/Shell, Javascript, Python, SQL","Flask, Node.js, React.js",MySQL,Ninguna de las anteriores,Visual Studio Code,1-10,Servicios / Consultoría de Software / Digital,22
Ciudad Autónoma de Buenos Aires,Full-Time,216402,153829,Manager / Director,30,4,4,10,"VMWare, Windows Server",".NET, C#, HTML, Javascript, SQL",.NET Core,Microsoft SQL Server,Ninguna de las anteriores,"Android Studio, Visual Studio",201-500,Otras industrias,51
